Timestamp,No,Age,Gender,Experience,Degree,Major,FM_1,FM_2,GM_1,FM_3,GM_2,FM_4,GM_3,GM_4,FM_5,FM_6,GM_5,FM_7,GM_6,FM_8,GM_7,GM_8,SA_1,SA_2,SA_3,SA_4,SA_5,SA_6,DA_1,DA_2,DA_3,DA_4,ENFE_1,ENFE_2,ENFE_3,TI_1,TI_2,TI_3,TI_4
2023/12/08 7:45:45 PM GMT+3:30,84,31,2,3,2,1,2,2,4,2,4,2,4,4,1,2,6,1,6,3,5,6,2,2,2,2,2,2,4,5,4,3,3,3,4,2,2,2,2
2023/12/08 7:54:19 PM GMT+3:30,85,30,1,4,2,1,3,2,4,3,4,2,4,4,3,2,4,2,4,1,4,4,1,4,1,3,2,3,4,3,4,4,3,4,4,3,3,3,2
2023/12/08 8:03:38 PM GMT+3:30,86,27,1,1,1,1,1,3,5,1,5,3,5,5,3,3,4,1,4,3,4,6,3,3,5,5,5,2,4,3,4,4,2,2,2,1,3,2,1
2023/12/08 8:34:59 PM GMT+3:30,87,25,1,1,1,1,3,3,6,2,3,2,3,5,1,1,4,5,5,5,3,3,2,3,4,3,3,2,4,3,4,2,4,3,2,2,3,1,4
2023/12/09 5:00:23 PM GMT+3:30,88,23,2,5,1,1,1,1,6,2,5,1,3,6,2,1,1,1,6,2,4,6,2,4,1,3,2,2,4,4,4,5,5,4,3,1,6,2,1
2023/12/09 5:34:06 PM GMT+3:30,89,29,2,4,2,1,3,2,5,2,2,2,5,5,3,2,5,3,3,3,2,3,3,3,1,2,2,3,3,4,4,3,5,4,3,4,4,4,4
2023/12/09 5:58:56 PM GMT+3:30,90,23,1,4,1,1,4,4,3,5,3,5,4,2,5,5,2,5,3,5,3,2,2,2,2,2,2,2,4,4,2,4,4,4,4,6,6,2,7
2023/12/09 6:10:05 PM GMT+3:30,91,24,2,4,1,1,1,4,2,2,1,1,3,3,2,4,1,1,1,5,3,4,2,2,2,4,4,4,2,2,3,2,1,4,4,5,4,4,6
2023/12/09 10:00:20 PM GMT+3:30,92,25,2,3,1,1,2,4,5,1,4,1,6,4,2,1,6,1,4,1,6,6,5,2,1,2,2,3,4,4,4,4,5,5,5,2,2,2,2
2023/12/10 8:12:21 PM GMT+3:30,93,25,2,2,1,1,3,2,4,2,5,5,4,2,3,3,4,3,5,4,4,3,3,2,2,2,2,3,4,4,5,4,4,4,4,1,2,1,1
2023/12/10 9:17:34 PM GMT+3:30,94,26,2,1,1,1,3,3,4,4,3,3,4,4,4,4,4,4,5,3,3,4,3,2,3,2,4,4,4,4,3,4,4,4,3,6,4,4,4
2023/12/10 10:37:03 PM GMT+3:30,95,29,1,2,2,1,4,3,5,3,4,5,5,5,3,4,6,3,5,3,5,5,4,4,3,2,2,4,3,3,3,4,3,4,4,1,1,5,3
2023/12/10 10:38:26 PM GMT+3:30,96,24,2,5,1,1,3,2,5,3,4,6,5,4,3,4,4,5,4,5,4,4,4,3,2,2,2,3,4,2,2,3,4,4,4,3,2,1,3
2023/12/10 10:42:41 PM GMT+3:30,97,31,2,3,1,2,2,1,5,2,5,2,5,2,2,5,6,2,5,5,5,4,2,2,2,2,1,4,4,4,4,5,5,4,5,1,1,4,3
2023/12/10 10:47:31 PM GMT+3:30,98,23,2,2,1,1,2,2,5,3,3,5,5,5,5,5,5,2,5,2,5,5,4,4,4,3,4,4,4,4,4,4,2,3,3,6,7,6,5
2023/12/11 7:22:13 AM GMT+3:30,99,27,1,4,2,1,2,3,5,2,4,5,5,5,5,5,2,5,2,5,5,2,4,4,4,2,4,4,2,2,4,4,2,2,2,1,1,1,1
2023/12/14 5:29:24 PM GMT+3:30,100,26,1,3,1,1,4,3,3,3,4,3,4,2,3,3,2,2,2,4,4,2,4,4,4,4,4,4,2,2,2,2,1,2,2,6,3,7,6
2023/12/14 6:52:42 PM GMT+3:30,101,26,1,2,1,1,1,3,4,4,3,2,2,2,5,4,5,2,2,4,3,3,2,1,2,3,3,2,3,3,2,3,2,4,2,3,3,6,2
2023/12/14 7:35:57 PM GMT+3:30,102,28,1,1,1,2,4,2,2,5,2,5,2,2,4,2,2,5,2,2,2,2,4,1,1,2,1,4,3,3,4,4,3,4,2,1,1,1,2
2023/12/14 8:12:15 PM GMT+3:30,103,29,2,5,2,1,1,2,5,2,5,2,4,5,4,3,5,3,5,4,5,5,2,2,3,2,4,3,4,3,4,4,4,4,5,5,1,4,4
2023/12/15 10:19:49 AM GMT+3:30,104,30,1,3,2,2,2,2,5,2,5,2,5,5,2,2,5,2,6,1,5,6,3,2,1,1,2,3,4,5,5,5,5,4,5,1,1,2,1
2023/12/15 3:56:21 PM GMT+3:30,105,32,1,1,3,3,2,2,5,2,4,3,5,5,3,3,4,4,4,4,5,3,2,2,2,1,1,3,3,2,2,2,3,5,5,4,2,3,4
2023/12/15 4:25:55 PM GMT+3:30,106,27,2,2,2,1,2,3,2,3,3,4,4,2,2,2,4,4,2,5,3,4,4,4,4,5,5,4,1,3,2,2,1,2,3,4,3,6,2
2023/12/15 5:22:22 PM GMT+3:30,107,24,2,3,1,1,1,1,6,2,5,2,5,4,1,3,6,1,5,2,5,4,2,3,2,1,3,2,4,4,5,4,3,4,4,1,6,4,1
2023/12/15 5:45:28 PM GMT+3:30,108,30,2,2,2,2,2,2,4,4,5,2,4,5,2,2,5,2,5,2,5,5,2,1,3,1,3,2,2,3,3,4,4,4,4,4,5,6,4
2023/12/15 6:44:48 PM GMT+3:30,109,32,2,4,3,1,2,2,5,2,5,3,5,5,3,3,5,2,5,2,4,5,4,4,2,2,2,4,4,4,4,4,4,4,4,2,5,4,6
2023/12/15 7:23:20 PM GMT+3:30,110,23,2,5,1,1,2,3,4,3,4,3,4,4,3,3,4,3,4,3,4,4,3,4,4,4,3,4,3,3,4,3,3,3,3,2,3,5,4
2023/12/15 7:27:53 PM GMT+3:30,111,31,2,5,2,1,3,3,4,3,4,3,4,4,3,3,4,3,4,3,4,4,2,2,2,2,2,2,3,4,3,3,4,4,3,3,3,5,5
2023/12/15 7:47:32 PM GMT+3:30,112,29,2,3,2,1,2,2,5,2,2,3,5,5,5,5,5,3,3,3,4,4,3,4,3,2,2,3,4,5,4,4,4,3,3,1,1,1,3
2023/12/15 8:15:04 PM GMT+3:30,113,24,2,2,1,1,2,2,4,3,3,2,4,5,3,4,3,4,4,4,3,3,2,4,3,2,4,4,4,4,4,4,4,4,4,2,2,2,3
2023/12/16 1:19:16 AM GMT+3:30,114,30,2,1,2,1,4,5,2,2,5,2,5,3,2,2,6,2,5,2,6,5,2,2,2,2,2,4,4,4,2,3,4,4,4,2,2,4,2
2023/12/16 6:56:25 AM GMT+3:30,115,30,1,3,2,1,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,2,2,3,4,4,4,4,4,4,4,4,6,4,4,4
2023/12/16 2:00:14 PM GMT+3:30,116,28,1,3,2,1,1,1,5,1,5,1,4,5,1,1,5,1,5,1,4,5,4,4,4,2,4,4,4,4,4,4,3,3,3,6,1,1,6
2023/12/16 8:36:11 PM GMT+3:30,117,25,1,3,1,1,1,1,5,3,5,3,5,4,4,3,3,4,3,3,4,3,4,4,4,4,4,4,2,2,2,2,4,4,4,7,7,6,7
2023/12/17 11:11:41 AM GMT+3:30,118,23,1,4,1,1,3,2,4,2,4,2,4,4,2,2,4,4,4,2,4,4,3,4,2,2,2,2,3,3,2,4,4,4,4,2,2,3,3
2023/12/17 11:37:19 AM GMT+3:30,119,26,1,1,2,1,2,2,5,2,5,2,5,5,2,2,5,2,5,2,5,5,1,4,2,2,2,2,4,2,2,4,4,4,4,7,5,7,5
